股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
中国通号,688009,5.67,0,15.39,15.72,1.49,177.2963,1.45,20.87,交运设备
中微公司,688012,137.09,2.91,121.45,148.97,16.08,0.5066,29.76,140.94,专用设备
交控科技,688015,31.09,-0.48,20.86,21.01,3.75,0.2133,2.35,19.47,交运设备
心脉医疗,688016,379.1,0,106.25,127.14,20.43,1.8458,48,101.3,医疗行业
绿的谐波,688017,134.78,-1.43,157.17,197.8,9.48,3.9755,62.17,118.08,机械行业
安集科技,688019,254.75,-1.11,102.12,87.86,12.74,0.6598,30.38,181.49,材料行业
奥福环保,688021,44.25,-1.45,39.75,42.74,3.81,0.6858,10.23,144.95,材料行业
安恒信息,688023,242.04,-2.04,346.49,133.68,11.48,5.6916,12.89,123.09,电子信息
洁特生物,688026,75.43,-0.22,56.32,63.19,8.93,0.8893,12.5,68.01,塑胶制品
传音控股,688036,159.99,-2.42,40.85,47.64,11.18,0.7471,2.95,24.46,通讯行业
芯源微,688037,105.7,1.45,140.48,181.84,10.96,3.1465,20.47,-52.16,专用设备
当虹科技,688039,57.3,-6.08,44.7,44.58,3.11,1.7945,11.6,114.46,软件服务
爱博医疗,688050,302.05,3.09,245.89,328.89,20.43,4.6416,95.87,198.08,医疗行业
佳华科技,688051,76.9,2.45,37.64,33.61,3.96,0.7164,9.12,-92.23,软件服务
龙腾光电,688055,7.32,-0.27,51.95,93.11,6.13,8.3876,4.84,46.72,电子元件
莱伯泰科,688056,72.35,0.37,60.54,74.33,6.42,8.5257,12.64,56.65,仪器仪表
金达莱,688057,32.24,0.12,21.64,23.01,2.8,0.4188,8.69,24,环保工程
云涌科技,688060,69.69,2.82,61.98,56.37,4.53,4.7892,16.25,1067.38,软件服务
派能科技,688063,166.66,1.55,88.23,94.02,9.24,0.96,21.37,74.45,机械行业
航天宏图,688066,40.6,1.53,56.49,52.41,5.18,0.9317,7.5,313.84,软件服务
热景生物,688068,162.53,2.22,14.18,90.2,7.52,0.0141,5.94,8.4,医疗行业
德林海,688069,67,-3.39,18.2,20.67,2.74,0.1032,7.13,-28.85,环保工程
龙软科技,688078,34.24,-2.48,46.95,47.74,4.71,4.3657,12.32,-336.9,软件服务
三友医疗,688085,35.39,-5.15,53.2,61.29,4.65,2.212,15.83,102.38,医疗行业
虹软科技,688088,47.77,2.51,75.25,77.13,7.04,4.2663,29.01,82.52,软件服务
嘉必优,688089,45.09,0.16,38.93,41.44,4.03,3.7547,15.61,69.8,食品饮料
世华科技,688093,36.73,3.99,41.93,49,5.62,0.6367,18.12,54.81,材料行业
福昕软件,688095,276,2.75,115.71,115.25,4.4,2.3242,27.61,98.29,软件服务
京源环保,688096,15.39,0.13,25.82,26.56,2.24,17.7779,4.66,-22.75,专用设备
申联生物,688098,13.18,2.89,48.75,41.69,3.78,0.7868,16.76,66.67,农药兽药
威胜信息,688100,23.81,-3.88,40.26,43.24,4.94,1.4476,7.8,77.97,电子信息
金宏气体,688106,25.75,-0.81,57.78,63.2,4.44,4.6793,9.28,28.61,化工行业
金山办公,688111,379.9,-1.16,162.88,199.44,24.47,1.2314,65.79,108.73,软件服务
西部超导,688122,58.53,-0.78,55.46,69.66,8.79,0.3545,11.21,-514.45,金属制品
聚辰股份,688123,45.33,4.37,34.46,33.62,3.71,0.41,10.39,98.66,电子元件
沪硅产业,688126,28.22,3.33,466.78,803.86,7.3,1.2295,36.32,158.23,电子元件
蓝特光学,688127,27.02,4.12,59.04,59.48,7.63,0.9155,24.45,46.27,电子元件
中国电研,688128,16.53,0.79,23.27,23.65,2.85,1.8896,2.49,16.12,专用设备
泰坦科技,688133,220,5.98,145.41,163.24,11.52,2.9477,10.53,-169.14,材料行业
清溢光电,688138,18.89,5.47,69.69,66.06,4.23,8.2845,10.62,28.92,专用设备
海尔生物,688139,94.96,2.44,41.16,79.04,9.45,0.3176,19.44,38.73,医疗行业
路德环境,688156,19.16,-1.08,26.99,36.86,2.46,1.6175,6.22,207.99,环保工程
步科股份,688160,38.83,0.39,44.14,49.29,5.26,0.7337,6.86,101.77,仪器仪表
博瑞医药,688166,45.67,3.56,101.51,110.22,12.64,1.9083,22.18,114.5,医药制造
石头科技,688169,1202,-1.32,51.4,58.52,10.75,0.5511,15.93,46.72,家电行业
万德斯,688178,27.15,-1.45,18.1,18.26,2.04,13.035,2.72,-14.33,环保工程
